Div,Date,HomeTeam,AwayTeam,FTHG+2,FTAG
E0,25/11/2018,Bournemouth,Arsenal,3,2
E0,25/11/2018,Wolves,Huddersfield,2,2
E0,26/11/2018,Burnley,Newcastle,3,2
E0,30/11/2018,Cardiff,Wolves,4,1
E0,01/12/2018,Crystal Palace,Burnley,4,0
E0,01/12/2018,Huddersfield,Brighton,3,2
E0,01/12/2018,Leicester,Watford,4,0
E0,01/12/2018,Man City,Bournemouth,5,1
E0,01/12/2018,Newcastle,West Ham,2,3
E0,01/12/2018,Southampton,Man United,4,2
E0,02/12/2018,Arsenal,Tottenham,6,2
E0,02/12/2018,Chelsea,Fulham,4,0
E0,02/12/2018,Liverpool,Everton,3,0
E0,04/12/2018,Bournemouth,Huddersfield,4,1
E0,04/12/2018,Brighton,Crystal Palace,5,1
E0,04/12/2018,Watford,Man City,3,2
E0,04/12/2018,West Ham,Cardiff,5,1
E0,05/12/2018,Burnley,Liverpool,3,3
E0,05/12/2018,Everton,Newcastle,3,1
E0,05/12/2018,Fulham,Leicester,3,1
E0,05/12/2018,Man United,Arsenal,4,2
E0,05/12/2018,Tottenham,Southampton,5,1
E0,05/12/2018,Wolves,Chelsea,4,1
E0,08/12/2018,Arsenal,Huddersfield,3,0
E0,08/12/2018,Bournemouth,Liverpool,2,4
E0,08/12/2018,Burnley,Brighton,3,0
E0,08/12/2018,Cardiff,Southampton,3,0
E0,08/12/2018,Chelsea,Man City,4,0
E0,08/12/2018,Leicester,Tottenham,2,2
E0,08/12/2018,Man United,Fulham,6,1
E0,08/12/2018,West Ham,Crystal Palace,5,2
E0,09/12/2018,Newcastle,Wolves,3,2
E0,10/12/2018,Everton,Watford,4,2
E0,15/12/2018,Crystal Palace,Leicester,3,0
E0,15/12/2018,Fulham,West Ham,2,2
E0,15/12/2018,Huddersfield,Newcastle,2,1
E0,15/12/2018,Man City,Everton,5,1
E0,15/12/2018,Tottenham,Burnley,3,0
E0,15/12/2018,Watford,Cardiff,5,2
E0,15/12/2018,Wolves,Bournemouth,4,0
E0,16/12/2018,Brighton,Chelsea,3,2
E0,16/12/2018,Liverpool,Man United,5,1
E0,16/12/2018,Southampton,Arsenal,5,2
E0,21/12/2018,Wolves,Liverpool,2,2
E0,22/12/2018,Arsenal,Burnley,5,1
E0,22/12/2018,Bournemouth,Brighton,4,0
E0,22/12/2018,Cardiff,Man United,3,5
E0,22/12/2018,Chelsea,Leicester,2,1
E0,22/12/2018,Huddersfield,Southampton,3,3
E0,22/12/2018,Man City,Crystal Palace,4,3
E0,22/12/2018,Newcastle,Fulham,2,0
E0,22/12/2018,West Ham,Watford,2,2
E0,23/12/2018,Everton,Tottenham,4,6
E0,26/12/2018,Brighton,Arsenal,3,1
E0,26/12/2018,Burnley,Everton,3,5
E0,26/12/2018,Crystal Palace,Cardiff,2,0
E0,26/12/2018,Fulham,Wolves,3,1
E0,26/12/2018,Leicester,Man City,4,1
E0,26/12/2018,Liverpool,Newcastle,6,0
E0,26/12/2018,Man United,Huddersfield,5,1
E0,26/12/2018,Tottenham,Bournemouth,7,0
E0,26/12/2018,Watford,Chelsea,3,2
E0,27/12/2018,Southampton,West Ham,3,2
E0,29/12/2018,Brighton,Everton,3,0
E0,29/12/2018,Fulham,Huddersfield,3,0
E0,29/12/2018,Leicester,Cardiff,2,1
E0,29/12/2018,Liverpool,Arsenal,7,1
E0,29/12/2018,Tottenham,Wolves,3,3
E0,29/12/2018,Watford,Newcastle,3,1
E0,30/12/2018,Burnley,West Ham,4,0
E0,30/12/2018,Crystal Palace,Chelsea,2,1
E0,30/12/2018,Man United,Bournemouth,6,1
E0,30/12/2018,Southampton,Man City,3,3
E0,01/01/2019,Arsenal,Fulham,6,1
E0,01/01/2019,Cardiff,Tottenham,2,3
E0,01/01/2019,Everton,Leicester,2,1
E0,02/01/2019,Bournemouth,Watford,5,3
E0,02/01/2019,Chelsea,Southampton,2,0
E0,02/01/2019,Huddersfield,Burnley,3,2
E0,02/01/2019,Newcastle,Man United,2,2
E0,02/01/2019,West Ham,Brighton,4,2
E0,02/01/2019,Wolves,Crystal Palace,2,2
E0,03/01/2019,Man City,Liverpool,4,1
E0,12/01/2019,Brighton,Liverpool,2,1
E0,12/01/2019,Burnley,Fulham,4,1
E0,12/01/2019,Cardiff,Huddersfield,2,0
E0,12/01/2019,Chelsea,Newcastle,4,1
E0,12/01/2019,Crystal Palace,Watford,3,2
E0,12/01/2019,Leicester,Southampton,3,2
E0,12/01/2019,West Ham,Arsenal,3,0
E0,13/01/2019,Everton,Bournemouth,4,0
E0,13/01/2019,Tottenham,Man United,2,1
E0,14/01/2019,Man City,Wolves,5,0
E0,19/01/2019,Arsenal,Chelsea,4,0
E0,19/01/2019,Bournemouth,West Ham,4,0
E0,19/01/2019,Liverpool,Crystal Palace,6,3
E0,19/01/2019,Man United,Brighton,4,1
E0,19/01/2019,Newcastle,Cardiff,5,0
E0,19/01/2019,Southampton,Everton,4,1
E0,19/01/2019,Watford,Burnley,2,0
E0,19/01/2019,Wolves,Leicester,6,3
E0,20/01/2019,Fulham,Tottenham,3,2
E0,20/01/2019,Huddersfield,Man City,2,3
E0,29/01/2019,Arsenal,Cardiff,4,1
E0,29/01/2019,Fulham,Brighton,6,2
E0,29/01/2019,Huddersfield,Everton,2,1
E0,29/01/2019,Man United,Burnley,4,2
E0,29/01/2019,Newcastle,Man City,4,1
E0,29/01/2019,Wolves,West Ham,5,0
E0,30/01/2019,Bournemouth,Chelsea,6,0
E0,30/01/2019,Liverpool,Leicester,3,1
E0,30/01/2019,Southampton,Crystal Palace,3,1
E0,30/01/2019,Tottenham,Watford,4,1
E0,02/02/2019,Brighton,Watford,2,0
E0,02/02/2019,Burnley,Southampton,3,1
E0,02/02/2019,Cardiff,Bournemouth,4,0
E0,02/02/2019,Chelsea,Huddersfield,7,0
E0,02/02/2019,Crystal Palace,Fulham,4,0
E0,02/02/2019,Everton,Wolves,3,3
E0,02/02/2019,Tottenham,Newcastle,3,0
E0,03/02/2019,Leicester,Man United,2,1
E0,03/02/2019,Man City,Arsenal,5,1
E0,04/02/2019,West Ham,Liverpool,3,1
E0,06/02/2019,Everton,Man City,2,2
E0,09/02/2019,Brighton,Burnley,3,3
E0,09/02/2019,Crystal Palace,West Ham,3,1
E0,09/02/2019,Fulham,Man United,2,3
E0,09/02/2019,Huddersfield,Arsenal,3,2
E0,09/02/2019,Liverpool,Bournemouth,5,0
E0,09/02/2019,Southampton,Cardiff,3,2
E0,09/02/2019,Watford,Everton,3,0
E0,10/02/2019,Man City,Chelsea,8,0
E0,10/02/2019,Tottenham,Leicester,5,1
E0,11/02/2019,Wolves,Newcastle,3,1
E0,22/02/2019,Cardiff,Watford,3,5
E0,22/02/2019,West Ham,Fulham,5,1
E0,23/02/2019,Bournemouth,Wolves,3,1
E0,23/02/2019,Burnley,Tottenham,4,1
E0,23/02/2019,Leicester,Crystal Palace,3,4
E0,23/02/2019,Newcastle,Huddersfield,4,0
E0,24/02/2019,Arsenal,Southampton,4,0
E0,24/02/2019,Man United,Liverpool,2,0
E0,26/02/2019,Cardiff,Everton,2,3
E0,26/02/2019,Huddersfield,Wolves,3,0
E0,26/02/2019,Leicester,Brighton,4,1
E0,26/02/2019,Newcastle,Burnley,4,0
E0,27/02/2019,Arsenal,Bournemouth,7,1
E0,27/02/2019,Chelsea,Tottenham,4,0
E0,27/02/2019,Crystal Palace,Man United,3,3
E0,27/02/2019,Liverpool,Watford,7,0
E0,27/02/2019,Man City,West Ham,3,0
E0,27/02/2019,Southampton,Fulham,4,0
E0,02/03/2019,Bournemouth,Man City,2,1
E0,02/03/2019,Brighton,Huddersfield,3,0
E0,02/03/2019,Burnley,Crystal Palace,3,3
E0,02/03/2019,Man United,Southampton,5,2
